"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_CV_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0468394366711769,250690.454979049,0.0222984679114985,4.80642523728675,0.68239366974547,1,1.59890848152353,1.09184441403897,1,0.501252559331153,7194.03017678844,0,0,346.030439606843,1899.5556,0,7275.37438934152,8190.45617586035,13206.730152261,0.0504980550428376,0.0610703902740284,0.119503482514054,2.00374114694235,0,-9999,40.5591764675631,0,6.90394062309986,0,47.463117090663,4.08338634915911e-21,0.0051174491071992,0.168048996604373,0.190831305760857,0.317549014109185,104347.9069,1
"median",0.0477439210377634,45342.5490702923,0.0200488120454886,4.27090595983548,0.677604940161109,1,1.60016634930939,1.09375665297888,1,0.515417554299347,7278.49568112288,0,0,157.891885870737,1883,0,7297.88919620503,7968.07161448966,11578.841741128,0.0504022452679922,0.0611705477632983,0.0942678544978507,1.99405856245642,0,-9999,40.3513709744534,0,6.63943912786875,0,47.1887641986041,3.20759923120279e-21,0.00321749998811041,0.151526467155996,0.166745848268525,0.248343373123343,105599,1
"2.5%PI",0.0036040826048702,20795.6259459464,0.00973215317841351,2.48115928796081,0.604872928513214,1,1.51571057488269,1.0115321758628,1,0.0210546080663334,3940.09640587028,0,0,27.6139055601524,1841,0,4010.88149607217,3770.5149635442,3138.90406277404,-0.024328753274694,-0.00605626287364447,0.0219187229775153,1.52464095536176,0,-9999,39.1189970904826,0,6.41964562226609,0,45.7213524802,1.12728990180775e-22,0.000458023916058638,0.00961074456465707,0.00975579137793053,0.0103976722107562,4450,1
"97.5%PI",0.0921134502091445,619713.270942274,0.0473451296081346,9.96088959444258,0.786334138158708,1,1.67938655252704,1.16833357489786,1,0.974824954057112,9833.4355443716,0,0,1896.24047701728,1982,0,9961.63559719369,14133.2730475118,32609.6182081228,0.12799365709386,0.127934204335562,0.342173908764464,2.57751332835352,0,-9999,43.0925937528606,0,8.85751800712968,0,50.5370557497011,1.39145418936966e-20,0.0215622225383466,0.405900149055155,0.502913370618343,0.989626192999659,206890,1
"5%PI",0.00586886930977926,22700.7009160904,0.0106053667974689,2.5555603765469,0.608733238792047,1,1.52980106527914,1.02212829079882,1,0.0496091356035322,4385.17043715925,0,0,37.0355544941281,1843,0,4472.64001135433,4325.82137963154,3908.82136519327,-0.0116328835694011,0.00670524454109866,0.029423656255265,1.60298552952638,0,-9999,39.2920010716248,0,6.42098069809625,0,45.9878176969382,2.21346565681353e-22,0.000712811099526723,0.0209485740678794,0.0215416713559531,0.0231856258467069,10777.1,1
"95%PI",0.0858627985682106,298943.166253642,0.040604322840553,9.21508205560251,0.777104349201545,1,1.66671399091529,1.15526178020515,1,0.941963140596636,9654.47323586559,0,0,1395.43746702006,1974,0,9810.31706050251,12838.0756965114,27907.127435598,0.115243910642872,0.116048868109261,0.286257256254587,2.44824526154203,0,-9999,42.5048181176039,0,8.34093647281358,0,49.8623125976309,1.06596891290747e-20,0.0159256873084158,0.356835180073827,0.439047154015073,0.87566495053899,200654.6,1
"min",3.59942205250263e-07,14501.7892263303,0.0069046087775553,2.39015960642299,0.600017944909632,1,1.4470388749292,0.938196531663032,1,0.00027046469040215,1977.47013045009,0,0,8.26979563732048,1829,0,2175.98593750077,1706.27052470055,213.096891170503,-0.133549970189304,-0.315122627178947,0.000126611078258145,1.25666614046646,0,-9999,38.3826987166453,0,6.41936525241282,0,45.3892027044098,9.80303467221126e-26,2.93376821425022e-06,9.77987061376726e-05,8.27754903953036e-05,6.76527053832028e-05,102,1
"max",0.109468967972789,70872642.5367803,0.101353870541277,11.2148755914142,0.799990912945941,1,1.75099648661523,1.20644443285271,1,0.999420270323753,9998.14764403272,0,0,4552.7073411524,2030,0,18061.9146846812,37185.5141960605,100618.843493413,0.234152893198972,0.189236007659906,1.77629897418201,3.33420915953091,0,-9999,49.6795166192223,0,13.7023674021429,0,57.5845204196738,1.93963372842841e-20,0.0922472010031654,0.843303991502678,1.13277945521328,1.56275931229034,211751,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
