"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_CV_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0635101846676812,45640.7356455357,0.0165566307102835,6.47684422444022,0.732749398226114,1,1.56036142696495,1.12011323934141,1,0.806330330671417,2714.18236251934,0,0.0839163963023077,165.826940686858,1860.8331,0,2714.18994230768,2639.30360448858,4290.07337291315,0.029953790477598,1,0,-9999,126.959915251302,0,0,0,126.959915251302,9.17614871783557e-56,0.00358776791840817,0.0649490489909238,0.0629758052878002,0.103900757898169,45997.8656,1
"median",0.0672662992519327,40808.2961742108,0.0165231441883855,6.53026097131901,0.73405951410532,1,1.55384802714101,1.11902985395356,1,0.848032170441002,2806.63283823524,0,0.0804030776800081,124.787712311217,1851,0,2806.63346490111,2702.63207888342,4556.19276646557,0.0310848086875621,1,0,-9999,126.640450616524,0,0,0,126.640450616524,1.00173099459326e-55,0.00305790057439539,0.0687760511470407,0.0662275157812489,0.111648688958127,46289,1
"2.5%PI",0.0213850673707202,40808.2961742108,0.0165231441883855,5.53666990788502,0.712418545316905,1,1.55384802714101,1.10676620107965,1,0.190093072829768,1403.03518672008,0,0.0804030776800081,124.787712311217,1851,0,1403.03518843537,1724.98340933403,1124.73615762811,0.0120005338836866,1,0,-9999,126.640450616524,0,0,0,126.640450616524,1.87466018423918e-57,0.00240913356747167,0.0234537443780675,0.0285298218356225,0.0188015771458998,41212,1
"97.5%PI",0.0672662992519327,72365.9537090927,0.0168207348377195,6.53026097131901,0.73405951410532,1,1.65492864657634,1.14667979044192,1,0.848032170441002,2806.63283823524,0,0.128752953936904,753.585443519623,1970,0,2806.63346490111,2702.63207888342,4556.19276646557,0.0310848086875621,1,0,-9999,130.618922892736,0,0,0,130.618922892736,1.00173099459326e-55,0.0125972609276122,0.0687760511470407,0.0662275157812489,0.111648688958127,46289,1
"5%PI",0.0213850673707202,40808.2961742108,0.0165231441883855,6.39526528880302,0.731350364629179,1,1.55384802714101,1.11902985395356,1,0.190093072829768,1403.03518672008,0,0.0804030776800081,124.787712311217,1851,0,1403.03518843537,1724.98340933403,1124.73615762811,0.0120005338836866,1,0,-9999,126.640450616524,0,0,0,126.640450616524,5.71403158820786e-57,0.00305790057439539,0.0234537443780675,0.0288355703922471,0.0188015771458998,46219,1
"95%PI",0.0672662992519327,59821.3729039957,0.0168207348377195,6.53026097131901,0.73405951410532,1,1.65492864657634,1.14667979044192,1,0.848032170441002,2806.63283823524,0,0.105605257747644,753.585443519623,1970,0,2806.63346490111,2702.63207888342,4556.19276646557,0.0310848086875621,1,0,-9999,129.504425468655,0,0,0,129.504425468655,1.00173099459326e-55,0.0125972609276122,0.0687760511470407,0.0662275157812489,0.111648688958127,46289,1
"min",0.000521073455456644,22613.6199916814,0.00996010758903349,2.46358210515772,0.603946796571836,1,1.5338277379293,1.01598984117446,1,0.00792811112478375,1327.46455059387,0,0.0804030776800081,49.818785494546,1845,0,1327.46455053165,1275.42576818145,460.886279024488,0.0108351453585971,1,0,-9999,126.640450616524,0,0,0,126.640450616524,9.80118146360372e-63,0.000274544144635069,0.000744334777140414,0.000566198674771507,0.000751126943550271,3570,1
"max",0.0683847252256237,3414706.1895284,0.0325372932078054,9.79406386404073,0.784348482219502,1,1.65492864657634,1.14667979044192,1,0.890877146273851,3561.32675486151,0,0.275290466012218,1068.99474032779,2029,0,3561.35820170501,4400.0980645254,10226.9421835783,0.053176524804986,1,0,-9999,142.780357922704,0,0,0,142.780357922704,1.00173099459326e-55,0.0199397293119143,0.105400634855856,0.141484565251953,0.22300807385321,46289,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
