"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.011","0.01","0.001","0.006","0.016","0.028","18,734"
"2","$K$","82,416","80,420","54,670","70,557","91,713","122,658","18,734"
"3","$z$","4.265","3.487","1.074","1.961","6.086","10.439","18,734"
"4","$Pmsy$","0.65","0.65","0.507","0.575","0.725","0.792","18,734"
"5","$sigma$","0.0187838477626754","0.0196055083874935","0.00908577525316427","0.0152226074664006","0.0228666679148849","0.0252587539779055","18,734"
"6","$N_{min}$"," 2,360"," 2,382","   751"," 1,570"," 3,111","  4,028","18,734"
"7","$N_{2019}$"," 4,593"," 4,565"," 3,816"," 4,291"," 4,873","  5,522","18,734"
"8","$N_{2021}$"," 4,703"," 4,662"," 3,819"," 4,352"," 5,018","  5,794","18,734"
"9","$N_{2030}$"," 5,241"," 5,126"," 3,853"," 4,613"," 5,749","  7,272","18,734"
"10","Max depletion","0.028","0.028","0.012","0.021","0.034","0.044","18,734"
"11","Depletion in 2019","0.059","0.056","0.034","0.048","0.067","0.094","18,734"
"12","Depletion in 2021","0.06","0.058","0.034","0.048","0.069","0.099","18,734"
"13","Depletion in 2030","0.068","0.063","0.034","0.051","0.08","0.125","18,734"
"14","$q_{flt1}$","0.362","0.362","0.32","0.346","0.377","0.409","18,734"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.358","0.185","0.28","0.462","0.668",NA
